0,1,2,3
-15.789343,-47.925756,1160.96,22.05404143897996
-15.59972221,-48.1311111,1143.0,22.401256252180993
-15.596491,-47.625801,1030.36,22.03056459107807
-15.93527777,-48.13749999,990.0,22.894243119266054
-16.012222,-47.557417,1043.0,22.3121511627907
-16.642841,-49.220222,727.3,24.789389950784024
-17.745066,-49.101698,751.09,24.280403097244363
-13.309528,-49.117478,365.0,26.51299376299376
-18.969142,-50.633449,492.45,28.61425930815949
-16.26055555,-47.96694443,1000.82,22.634468147282288
-15.902658,-52.245172,327.35,27.401663475347053
-15.93972221,-50.14138888,512.86,26.545092444647338
-14.97972221,-49.53999999,551.16,24.578278688524595
-17.923622,-51.717467,670.08,24.219870189023002
-14.08916666,-46.36638888,830.0,25.023700477662267
-15.22027777,-48.98999999,667.01,26.257221892906543
-16.96694443,-51.81749999,740.1,24.86187126275061
-14.13305554,-47.52333332,1264.7,21.212165394691883
-17.785303,-50.964869,780.11,28.070588235294114
-17.45472222,-52.60111111,862.0,24.078842842383196
-16.962536,-50.42545,678.74,25.318501650916538
-16.42305554,-51.14888888,610.41,24.414613951562824
-17.33694444,-49.91472222,608.0,26.524100496277914
-12.82055554,-50.33583333,210.0,31.81791158536586
-13.253521,-46.890326,551.33,26.387100485809256
-17.30416666,-48.28416666,757.27,24.419829960483774
-18.154779,-47.927614,900.72,23.826218123861562
-18.409761,-49.192061,491.17,25.41978471978472
-16.784896,-47.612966,1211.08,21.667171659642328
-16.679786,-48.618171,952.0,22.77210520323352
-16.39944444,-47.62583332,932.0,22.32252923641367
-20.447195,-54.722615,528.47,25.382628519320644
-22.552448,-55.716317,668.0,23.168492201039864
-20.783333,-51.712222,328.94,28.029101283880166
-22.30055555,-53.82277777,377.36,26.23724064819022
-19.695517,-51.181769,408.06,26.084089414858642
-18.9886111,-56.62277777,102.26,29.401964367291
-20.47555554,-55.78388888,151.35,26.413675213675216
-18.51222222,-54.7361111,251.48,26.445725120661915
-22.19388888,-54.91138888,463.3,26.828201276755532
-20.39555555,-56.43166666,132.49,25.221610446137102
-21.70583333,-57.88666666,78.56,25.954779411764704
-18.99667,-57.6375,111.73,28.050401376146787
-18.80222222,-52.6025,820.82,24.66915814319433
-21.609036,-55.177531,388.94,
-19.42027777,-54.55305555,646.0,24.507358513629146
-19.122471,-51.720732,494.72,25.213149809512103
-21.774944,-54.528108,324.31,24.29531943969935
-22.85722222,-54.60555555,375.18,23.5253663003663
-23.0025,-55.32944443,433.59,22.41134284176534
-23.96694443,-55.02416666,398.4,23.52327882960413
-23.449501,-54.181858,337.82,23.90266575529733
-20.98166666,-54.97194443,471.43,24.996687158469946
-20.44444,-52.87583,323.63,25.744558287795993
-22.10166666,-56.54083333,206.09,25.263199563199564
-21.4786111,-56.13777777,252.47,26.075966127790608
-21.750123,-52.471294,392.13,24.760207300585847
-18.49277777,-53.17138888,727.34,24.726149817850636
-17.63527777,-54.76055555,495.25,26.071618852459018
-22.148083,-53.763736,347.0,25.121917340316518
-22.955028,-55.626,605.0,23.2901742001594
-19.945539,-54.368533,624.0,
-21.246756,-56.450442,329.0,24.697289602550963
-21.298278,-52.068917,345.0,
-22.657056,-54.819306,456.0,23.73928040037874
-19.587528,-54.030083,540.0,
-22.308694,-54.325833,340.0,32.54705882352941
-23.644481,-54.570289,319.0,23.858449100432704
-22.092833,-54.798833,360.0,24.806146652982097
-22.575389,-55.160333,499.0,25.74170736118647
-21.450972,-54.341972,5.0,24.923008045678692
-22.078528,-53.465889,372.0,28.023636363636363
-18.07277777,-54.54888888,251.0,22.988615439093483
-20.466694,-53.763028,442.0,25.392701810315387
-21.305889,-52.820375,383.0,24.970351816008197
-20.351444,-51.430222,374.0,27.07910131411615
-15.559295,-56.062951,241.56,29.27171552026159
-14.65,-57.43166666,440.01,26.262021614748885
-13.45388888,-56.67722221,339.59,26.364845173041893
-12.555107,-55.722863,379.31,26.66068085106383
-13.78583333,-57.8386111,525.41,26.27801019039957
-9.9525,-54.89777777,283.58,28.013809676385772
-16.4625,-54.58027777,289.88,27.509895833333335
-14.01638888,-52.21166666,440.0,27.48613098514034
-17.33944444,-53.22444443,753.28,24.645170193192275
-9.56333333,-57.3936111,217.75,28.429630381803413
-13.30388888,-58.76333333,105.0,25.804434499593164
-15.53138888,-55.13555555,748.27,24.639226450405488
-13.70805555,-59.7625,576.87,24.33754217492863
-11.280158,-57.526641,263.43,27.03912052117264
-14.42138888,-54.0361111,476.91,25.670727969348654
-11.98222221,-55.56611111,366.57,25.9443112418005
-9.906296,-58.572235,265.0,27.017996870109545
-11.375126,-58.774785,365.39,25.939371513150405
-11.61888888,-50.72777777,201.37,27.68246161228407
-15.06277777,-59.87305554,213.0,26.813351560719987
-15.57999999,-54.3811111,680.0,25.4467080317132
-10.07722221,-56.17916666,291.85,25.639322033898303
-9.970586,-55.827543,293.71,26.308670095518
-12.52194443,-58.23138888,426.2,25.86010647737356
-13.038642,-57.092201,334.36,30.28101383714742
-13.41111111,-54.75222222,466.48,26.12241901301847
-13.18472221,-53.2575,375.87,28.28760188760189
-14.92777777,-53.8836111,664.21,25.454262633207293
-16.34166666,-53.76611111,525.43,27.513561293324027
-17.175051,-54.50169,593.12,
-17.8411111,-53.28944444,862.42,23.824925270177054
-15.32472221,-57.22583332,147.75,27.155043260473587
-15.12472221,-58.12722221,300.83,25.190345673961954
-15.234582,-59.346215,272.53,25.736542239685658
-16.07472221,-57.69305555,123.53,27.749516110668335
-10.48416666,-52.37249999,300.0,26.725362732777338
